fasId,fasFacility_ID,fasService_ID
1271,10916,4
1272,10922,13
1273,10922,5
1274,10922,12
1275,10922,17
1276,10922,4
1277,10923,5
1278,10924,13
1279,10924,5
1280,10924,12
1281,10924,17
1282,10924,4
1283,10927,12
1284,10927,4
1285,10928,5
1286,10928,12
1287,10928,4
1288,10931,5
1289,10931,12
1290,10931,4
1291,10932,5
1292,10932,4
1293,10938,5
1294,10938,4
1295,10940,5
1296,10940,17
1297,10940,4
1298,10944,5
1299,10946,5
1300,10946,12
1301,10946,4
1302,10949,5
1303,10950,5
1304,10951,5
1305,10951,12
1306,10951,4
1307,10952,5
1308,10952,12
1309,10952,4
1310,10954,5
1311,10956,5
1312,10956,4
1313,10957,5
1314,10957,17
1315,10959,5
1316,10963,5
1317,10963,12
1318,10963,4
1319,10965,5
1320,10965,12
1321,10965,4
1322,10968,5
1323,10968,17
1324,10968,4
1325,10973,13
1326,10973,5
1327,10973,12
1328,10973,4
1329,10974,5
1330,10974,4
1331,10975,5
1332,10975,4
1333,10979,5
1334,10979,12
1335,10979,4
1336,10980,5
1337,10983,5
1338,10983,12
1339,10983,4
1340,10984,5
1341,10984,12
1342,10984,4
1343,10986,5
1344,10986,12
1345,10986,17
1346,10986,4
1347,10987,13
1348,10987,5
1349,10987,12
1350,10987,4
1351,10988,5
1352,10990,4
1353,10991,12
1354,10992,5
1355,10994,13
1356,10994,5
1357,10994,12
1358,10994,17
1359,10994,4
1360,10995,5
1361,10996,5
1362,10996,12
1363,10996,4
1364,10997,5
1365,10998,5
1366,10999,5
1367,10999,4
1368,11000,5
1369,11000,4
1370,11004,13
1371,11004,5
1372,11004,12
1373,11004,4
1374,11005,5
1375,11005,4
1376,11006,5
1377,11007,5
1378,11007,4
1379,11008,5
1380,11008,12
1381,11008,4
1382,11009,13
1383,11009,5
1384,11009,12
1385,11009,4
1386,11010,5
1387,11010,4
1388,11011,5
1389,11012,5
1390,11012,4
1391,11013,5
1392,11013,4
1393,11015,5
1394,11016,5
1395,11016,12
1396,11016,4
1397,11017,5
1398,11017,4
1399,11019,5
1400,11022,12
1401,11022,4
1402,11024,5
1403,11029,17
1404,11030,5
1405,11030,12
1406,11030,4
1407,11031,5
1408,11031,12
1409,11031,4
1410,11034,5
1411,11034,4
1412,11038,5
1413,11039,5
1414,11039,12
1415,11039,4
1416,11040,5
1417,11041,5
1418,11041,4
1419,11042,4
1420,11043,5
1421,11043,4
1422,11047,5
1423,11047,4
1424,11049,5
1425,11049,4
1426,11051,5
1427,11051,4
1428,11056,12
1429,11056,4
1430,11057,5
1431,11059,5
1432,11059,12
1433,11059,4
1434,11063,5
1435,11063,12
1436,11063,4
1437,11064,5
1438,11064,4
1439,11065,5
1440,11065,12
1441,11065,4
1442,11066,5
1443,11066,12
1444,11066,4
1445,11071,13
1446,11071,5
1447,11071,12
1448,11071,17
1449,11071,4
1450,11072,5
1451,11072,4
1452,11073,13
1453,11073,5
1454,11073,12
1455,11073,17
1456,11073,4
1457,11075,5
1458,11076,5
1459,11076,4
1460,11077,5
1461,11077,4
1462,11078,5
1463,11079,5
1464,11083,5
1465,11083,12
1466,11083,4
1467,11085,5
1468,11086,5
1469,11086,12
1470,11086,4
1471,11088,5
1472,11088,12
1473,11088,4
1474,11090,5
1475,11090,12
1476,11090,4
1477,11092,5
1478,11092,4
1479,11093,5
1480,11093,12
1481,11093,4
1482,11094,13
1483,11094,5
1484,11094,12
1485,11094,17
1486,11094,4
1487,11096,5
1488,11096,4
1489,11097,13
1490,11097,5
1491,11097,12
1492,11097,17
1493,11097,4
1494,11104,13
1495,11104,5
1496,11104,12
1497,11104,17
1498,11104,4
1499,11105,5
1500,11105,17
1501,11105,4
1502,11110,5
1503,11110,4
1504,11111,5
1505,11111,12
1506,11111,4
1507,11114,5
1508,11114,4
1509,11118,5
1510,11118,4
1511,11119,5
1512,11122,5
1513,11122,4
1514,11124,5
1515,11124,12
1516,11124,17
1517,11124,4
1518,11126,12
1519,11126,4
1520,11127,5
1521,11127,12
1522,11127,4
1523,11130,4
1524,11131,5
1525,11131,4
1526,11134,13
1527,11134,5
1528,11134,12
1529,11134,4
1530,11136,5
1531,11136,12
1532,11136,4
1533,11138,5
1534,11138,12
1535,11138,4
1536,11139,5
1537,11139,12
1538,11139,4
1539,11141,5
1540,11141,12
1541,11141,4
1542,11144,5
1543,11145,5
1544,11145,4
1545,11146,5
1546,11147,5
1547,11150,5
1548,11152,5
1549,11152,4
1550,11155,5
1551,11155,4
1552,11157,5
1553,11158,5
1554,11158,12
1555,11158,4
1556,11161,4
1557,11162,13
1558,11162,5
1559,11162,12
1560,11164,5
1561,11164,4
1562,11166,17
1563,11167,5
1564,11167,12
1565,11167,4
1566,11170,13
1567,11170,5
1568,11170,12
1569,11170,4
1570,11171,12
1571,11171,4
1572,11172,12
1573,11172,4
1574,11173,13
1575,11174,5
1576,11174,12
1577,11174,17
1578,11174,4
1579,11175,5
1580,11175,4
1581,11176,5
1582,11176,4
1583,11178,5
1584,11178,12
1585,11178,4
1586,11180,5
1587,11180,4
1588,11181,5
1589,11181,12
1590,11181,4
1591,11182,5
1592,11182,12
1593,11182,4
1594,11183,4
1595,11186,5
1596,11186,12
1597,11186,4
1598,11189,5
1599,11189,12
1600,11192,5
1601,11192,4
1602,11195,17
1603,11196,5
1604,11196,12
1605,11196,4
1606,11197,5
1607,11198,13
1608,11198,5
1609,11198,12
1610,11198,4
1611,11200,5
1612,11201,17
1613,11203,13
1614,11203,5
1615,11203,12
1616,11203,17
1617,11203,4
1618,11204,4
1619,11207,5
1620,11208,17
1621,11209,13
1622,11209,5
1623,11209,12
1624,11210,5
1625,11213,5
1626,11214,5
1627,11215,12
1628,11217,12
1629,11217,4
1630,11218,5
1631,11218,17
1632,11221,5
1633,11222,5
1634,11223,12
1635,11224,5
1636,11225,5
1637,11225,17
1638,11225,4
1639,11229,5
1640,11229,12
1641,11229,4
1642,11233,5
1643,11233,12
1644,11234,5
1645,11235,5
1646,11235,12
1647,11235,17
1648,11235,4
1649,11236,5
1650,11237,13
1651,11237,5
1652,11237,12
1653,11237,17
1654,11237,4
1655,11238,5
1656,11238,12
