conId,conCode,conName,conprvId,conDistrict,conOffice_Name,conOfficial_Landline,conOfficial_Mobile,conOfficial_Fax,conOfficial_Email,conOfficial_Address,conOfficial_Address_Town,conOfficial_Address_PostCode,conPopulation,conRecordArchived
143,1921,KINANGOP,45,NYANDARUA,,,,,,,,,,False
144,1927,KIPIPIRI,45,NYANDARUA,,,,,,,,,,False
145,1933,LARI,23,KIAMBU,,,,,,,,,,False
146,1938,LIMURU,23,KIAMBU,,,,,,,,,,False
147,1944,MARAGWA,39,MARAGWA,,,,,,,,,,False
148,1949,MATHIOYA,39,MURANG'A,,,,,,,,,,False
149,1955,MATHIRA,46,NYERI,,,,,,,,,,False
150,1960,MUKURWEINI,46,NYERI,,,,,,,,,,False
151,1965,MWEA,25,KIRINYAGA,,,,,,,,,,False
152,1971,NDARAGWA,45,NYANDARUA,,,,,,,,,,False
153,1977,NDIA,25,KIRINYAGA,,,,,,,,,,False
154,1983,NYERI TOWN,46,NYERI,,,,,,,,,,False
155,1988,OL KALOU,45,NYANDARUA,,,,,,,,,,False
156,1994,OTHAYA,46,NYERI,,,,,,,,,,False
157,2000,TETU,46,NYERI,,,,,,,,,,False
158,2007,ALEGO,48,SIAYA,,,,,,,,,789900,False
159,2013,BOBASI,26,GUCHA,,,,,,,,,,False
160,2019,BOMACHOGE,26,GUCHA,,,,,,,,,,False
161,2025,BONCHARI,26,KISII,,,,,,,,,,False
162,2031,BONDO,48,BONDO,,,,,,,,,,False
163,2037,GEM,48,SIAYA,,,,,,,,,,False
164,2042,GWASI,18,SUBA,,,,,,,,,,False
165,2047,KARACHUONYO,18,RACHUONYO,,,,,,,,,,False
166,2052,KASIPUL/KABONDO,18,RACHUONYO,,,,,,,,,,False
167,2057,KISUMU RURAL,27,KISUMU,,,,,,,,,,False
168,2063,KISUMU TOWN EAST,27,KISUMU,,,,,,,,,,False
169,2069,KISUMU TOWN WEST,11,KISUMU,,,,,,,,,,False
170,2075,KITUTU CHACHE,26,KISII,,,,,,,,,,False
171,2081,KITUTU MASABA,44,NYAMIRA,,,,,,,,,,False
172,2087,KURIA,37,KURIA,,,,,,,,,,False
173,2093,MBITA,18,SUBA,,,,,,,,,,False
174,2098,MIGORI,37,MIGORI,,,,,,,,,,False
175,2104,MUHORONI,27,NYANDO,,,,,,,,,,False
176,2109,NDHIWA,18,HOMA BAY,,,,,,,,,,False
177,2115,NORTH MUGIRANGO,44,NYAMIRA,,,,,,,,,,False
178,2121,NYAKACH,27,NYANDO,,,,,,,,,,False
179,2126,NYANDO,27,NYANDO,,,,,,,,,,False
180,2131,NYARIBARI CHACHE,26,KISII,,,,,,,,,,False
181,2137,NYARIBARI MASABA,26,KISII,,,,,,,,,,False
182,2143,NYATIKE,37,MIGORI,,,,,,,,,,False
183,2149,RANGWE,18,HOMA BAY,,,,,,,,,,False
184,2155,RARIEDA,48,BONDO,,,,,,,,,,False
185,2161,RONGO,37,MIGORI,,,,,,,,,,False
186,2167,SOUTH MUGIRANGO,26,GUCHA,,,,,,,,,,False
187,2173,UGENYA,48,SIAYA,,,,,,,,,,False
188,2178,URIRI,37,MIGORI,,,,,,,,,,False
189,2184,WEST MUGIRANGO,44,NYAMIRA,,,,,,,,,,False
